review,sentiment,label
"This movie came out about the same time as Pretty Woman. While the general theme is the same: wealthy man meets and learns to love a poor working class woman, the characters of Romuald and Juliette are much more lovable and worthy of our time with them. I have never forgotten them and consider the movie superior to Pretty woman in so many ways. Juliette is a remarkable woman and the clever ways she helps her boss overcome his problems will make you cheer. The final scenes contain some of the most memorable lines in romantic comedy. The efforts Romuald makes to win the love of Juliette surpass the puny climbing scene of Pretty Woman a hundred times over. See this movie, it will warm your heart.",positive,1
"As I watched this movie I began to feel very nostalgic. As a child growing up in a rural area I felt as if I was a kid again! The swimming pond (it's called a ""tank"" in Central Texas), the running through the countryside like a wild free spirit! The story was very believable and I totally lost it and cried toward the end. Through the pain we go through in life...life goes on and there can be forgiveness.",positive,1
"The movie is really cool, I thought. It sticks to the original game quite well, and some of the battle scenes are depicted in such high detail, it's incredible. I thought the movie could have been a little better if they'd give you a little more information before the end, but trying to figure out what's going on is what hooks on you this movie.<br /><br />The CG is beautiful, I don't think they could have done a better job graphics wise. Every little detail, the way they move, the way their swords look, everything is perfect. The way they make the characters look is almost like they're real people.<br /><br />The music was great, and I found it entertaining to listen to just how much of it was remixed from the original game, with new instruments and effects.<br /><br />All and all, I'd recommend this movie to anyone that enjoys fast paced action and a good storyline. I would definitely play the game before I'd watch the movie though.",positive,1
"Well, I tend to watch films for one of three reasons. Unfortunately, there are no Transformers in this film, so I can recommend it only on comedy value and pretty women (read girls)<br /><br />Yes, it is funny, I know this due to the number of people in the cinema who were laughing on a regular basis throughout. Personally though, I loved it for Laura Fraser, who IMHO is FIT!",positive,1
"Charles Chaplin's 'Shoulder Arms' of 1918 was his longest film to date, though, at just over 45 minutes in length, it was not quite a feature film. With World War One just drawing to a close, many popular entertainers of the time were doing their part to inspire their native troops, and Chaplin was no exception. And so the lovable Tramp went to war! The film begins with the Tramp in training, and the character is hilariously inept at even the simplest military drills, including marching and gun-slinging, much to the disgust of his drill sergeant. The Tramp then finds himself in the trenches, faced with a more formidable foe, though the Germans eventually turn out of be infinitely more incompetent than even he. The uproarious moment when the Tramp declares that he single-handedly captured thirteen German soldiers by ""surrounding them"" had me in stitches.<br /><br />There are plenty of other great moments in this film. Chaplin awaking to find his sleeping barracks underwater and being unable to literally find his own feet is hilarious, as is his ingenious use of a tube from a record player to sleep beneath the surface.<br /><br />However, the most memorable scenes in the film undoubtedly involve Chaplin skulking behind enemy lines disguised as a tree. The reactions of the bumbling German soldiers, unknowingly just metres from a sworn enemy, as they are single-handedly disabled one-by-one are highly amusing, especially when one soldier grapples an axe with the intention of cutting down a tree for firewood.<br /><br />This is a very enjoyable film, and one of the best of Chaplin's pre-1920 efforts. Highly recommended.",positive,1
This is an excellent film!Tom Hanks and Paul Newman performed great!I was really surprised when Newman was beating on his son!That was a great scene and the shooting scenes were staged good.I was very surprised about the end.Rent this film today as it is one of Tom Hanks' best!,positive,1
"The Golden Door is the story of a Sicilian family's journey from the Old World (Italy) to the New World (America). Salvatore, a middle-aged man who hopes for a more fruitful life, persuades his family to leave their homeland behind in Sicily, take the arduous journey across the raging seas, and inhabit a land whose rivers supposedly flow with milk. In short, they believe that by risking everything for the New World their dreams of prosperity will be fulfilled. The imagery of the New World is optimistic, clever and highly imaginative. Silver coins rain from heaven upon Salvatore as he anticipates how prosperous he'll be in the New World; carrots and onions twice the size of human beings are shown being harvested to suggest wealth and health, and rivers of milk are swam in and flow through the minds of those who anticipate what the New World will yield. All of this imagery is surrealistically interwoven with the characters and helps nicely compliment the gritty realism that the story unfolds to the audience. The contrast between this imagery versus the dark reality of the Sicilian people helps provide hope while they're aboard the ship to the New World.<br /><br />The voyage to the New World is shot almost in complete darkness, especially when the seas tempests roar and nearly kill the people within. The dark reality I referred to is the Old World and the journey itself to the New World. The Old World is depicted as somewhat destitute and primitive. This is shown as Salvatore scrambles together to sell what few possessions he has left (donkeys, goats and rabbits) in order to obtain the appropriate clothing he needs to enter the New World. I thought it was rather interesting that these people believed they had to conform to a certain dress code in order to be accepted in the New World; it was almost suggesting that people had to fit a particular stereotype or mold in order to be recognized as morally fit. The most powerful image in the film was when the ship is leaving their homeland and setting sail for the New World. This shot shows an overhead view of a crowd of people who slowly seem to separate from one another, depicting the separation between the Old and New Worlds. This shot also suggested that the people were being torn away from all that was once familiar, wanted to divorce from their previous dark living conditions and were desirous to enter a world that held more promise.<br /><br />As later contrasted to how the New World visually looks, the Old World seems dark and bleak as compared to the bright yet foggy New World. I thought it was particularly interesting that the Statue of Liberty is never shown through the fog at Ellis Island, but is remained hidden. I think this was an intentional directing choice that seemed to negate the purpose of what the Statue of Liberty stands for: ""Give me your poor, your tired, your hungry"" seemed like a joke in regards to what these people had to go through when arriving at the New World. Once they arrived in the Americas, they had to go through rather humiliating tests (i.e. delousing, mathematics, puzzles, etc.) in order to prove themselves as fit for the New World. These tests completely changed the perspectives of the Sicilian people. In particular, Salvatore's mother had the most difficult time subjecting herself to the rules and laws of the New World, feeling more violated than treated with respect. Where their dreams once provided hope and optimism for what the New World would provide, the reality of what the New World required was disparaging and rude. Salvatore doesn't change much other than his attitude towards what he felt the New World would be like versus what the New World actually was seemed disappointing to him. This attitude was shared by mostly everyone who voyaged with him. Their character arcs deal more with a cherished dream being greatly upset and a dark reality that had to be accepted.<br /><br />The film seems to make a strong commentary on preparing oneself to enter a heavenly and civilized society. Cleanliness, marriage and intelligence are prerequisites. Adhering to these rules is to prevent disease, immoral behavior and stupidity from dominating. Perhaps this is a commentary on how America has learned from the failings of other nations and so was purposefully established to secure that these plagues did not infest and destruct. Though the rules seemed rigid, they were there to protect and help the people flourish.",positive,1
"I haven't read through all the comments, but at least one poster mentioned that the 30 minute version might possibly be abridged. I'm curious about that myself because the later parts of the film just didn't make much sense to me even when I rewatched them. 30 minutes seems really short for a movie in 1917 also. ""Poor Little Rich Girl"" which was Tourneur's next film is 65 minutes long and ""Pride of the Clan"" which was his previous feature was 84 minutes long. So I'm relieved to see that I wasn't crazy, there must be part of this film missing and that's why the resolution didn't make much sense.<br /><br />It's hard to review or comment on a movie that you're only able to see half of... but I would recommend this film anyway because of the really fascinating view that it provides us of the insides of an East Coast movie studio of the time. It's the earliest film I've personally seen that's based on the movie industry itself. The main character is a movie star played by Robert Warwick, who was later a mainstay Hollywood character actor and appeared in almost all of Preston Sturges' films. He plays a western actor perhaps vaguely modeled on William S. Hart, who Warwick does resemble somewhat. After the really fascinating sequences set in the studio we see them on a location shoot where he discovers a country girl (Doris Kenyon) and convinces her to come to New Jersey for a screen test which goes very poorly. After that point the movie seems to be missing major pieces in the form we have now.<br /><br />Again, I'd recommend it to anyone who's interested in film history for the documentary value, but in the form we have it doesn't hold up much as a movie and isn't a particularly good example of Maurice Tourneur's work.",positive,1
"At times, this overtakes The Thing as my favourite horror film. While Carpenter's film is the more efficient and more entertaining flick, Kubrick's is more artistic, more thought-provoking, and probably scarier. It's one of the few films where I can look past its flaws and truly and wholly love it. I try not to compare it to the book  which I've only read once, a number of years ago, and which scared me to death  because the two don't have a lot in common, besides the story and characters obviously. It's almost as if Kubrick was banking on people's love of the novel in order to make his film more frightening. And it that way, it's certainly one of the most interesting book adaptations ever made, as well as one of the greatest horror films.<br /><br />What makes the film so terrifying is not the jump scares, not the blood and gore, not the various ghosts that pop up from time to time. It's the destruction of Jack Torrence. Some people have complained about the casting of Nicholson in this role, saying that it's too obvious that he's going to go crazy in the film, given his past roles and his appearance. I disagree. We know he's going to go crazy  since most of us have read the book  and Jack's appearance only furthers this notion. But it's the way he acts at the beginning that makes us truly scared. He's calm, quiet, patient. He engages in inane small talk with the hotel managers and even with his own family. And with a wife and son as irritating as his, it's a small wonder that he manages to do so. But once he gets to the Overlook, he changes. He becomes irritable, angry, on edge. The scene that always shocks me is when Wendy interrupts him typing, and he utterly loses it, telling her to ""leave him the f*** alone"". This is the first f-bomb dropped in the film, and it's a shock to the system. From then on, all bets are off.<br /><br />Another thing I love is the multiple interpretations present in the film. We're never really sure if what we're seeing is actually happening. Many critics have noted that whenever Jack talks to a ghost, there's a mirror present, showing that he may as well be talking to himself. But what of the other characters? Wendy never sees anything until the film's climax, until she is given a tour of the hotel's many ghostly inhabitants, but she is well aware that something is wrong, while Danny connects with the place almost immediately. His psychic powers are not in question  how else would Hallorann know to come to the hotel?  but does he ever see any of the ghosts that his parents witness? It's easy to claim that Jack merely loses it, being trapped in a hotel with his family, and Wendy later does as well  seeing your husband attempt to kill you with an axe will do that  but what of Danny? It appears that his body is taken over by Tony, but how do we know for sure? None of these characters are reliable witnesses. Hallorann probably would be, and he warns of the dangers in 237, but he's killed as soon as he arrives at the Overlook (a scare Kubrick achieves by playing on the assumptions of fans of the novel). And that final shot. Has there ever been a more enigmatic ending in cinema? Has Jack really been there before? Or was his body merely 'absorbed' into the hotel? When talking about the acting in this film, any discussion begins and ends with Jack Nicholson. Shelley Duvall gives one of the most annoying performances in cinematic history  probably on purpose, to give Jack's character more of a reason to snap  and Danny Lloyd is no better, but Jack is a powerhouse. Part method, part improvisation, he's simultaneously terrifying and appealing. For better or for worse, he's the character with whom we identify with, not the annoying kid or nagging wife. We all want to have a hotel to ourselves for a season, be able to do whatever we want. Who cares if it's haunted? Of course, the technical aspects are terrific. Kubrick's long takes, strange angles, and bizarre imagery all contribute to the horror. The use of colour, mirrors, long hallways, and every other motif only heightens this. And don't even get me started on that score. I don't know if the film would be half as scary without that haunting, electronic tune. Its strangeness perfectly reflects the hotel, the mood, and the entire film itself.<br /><br />I know King doesn't like this film, but King's input on cinema is nothing to brag about. As great of a novel writer he may be, his screenplays are terrible, and his attempt at directing is better left unnoticed. This is not a very faithful book adaptation, but it doesn't need to be, and it really shouldn't. Part of the horror of the film is that the viewer doesn't have the book to fall back on; there's no reassuring source material. Kubrick masterfully alters the narrative to terrify the audience even more. If only for that, this is one of the most innovative films in any genre. And it's got everything else on top of that.",positive,1
"I watched FIDO on some movie channel and I have to say that I've become an instant fan. The film feels like a comic book that perfectly captures the look and feel of the surreal 1950s, you know the wholesome decade when they danced to Elvis while dropping nuclear bombs in the desert just for the heck of it. People were so naive back then that it's frightening and the idea that those clean cut folks would find it normal to have zombies as pets actually works here.<br /><br />Kudos to this Canadian production, the colorful crisp cinematography and the excellent cast, including Carrie Anne Moss, Billy Connolly, Henry Czerny and the kid.<br /><br />It's a shame this film wasn't a bigger hit. It deserved more recognition. It's much better than the stuff from Tim Burton or the SHAUN OF THE DEAD team. Oh well. It's an instant classic nonetheless.",positive,1
"Lucio Fulci's Cat in the Brain is an inventive and somewhat egotistical tale of a director's decent into madness. The director in question is Fulci himself, who stars in the film. Fulci has become known to horror fans everywhere as 'the godfather of gore', and for good reason, as he has provided us with some of the nastiest and most gruesome films ever to grace the silver screen; from the eyeball violence in films like 'Zombi 2', to a man been hacked to death with chains in 'The Beyond', all the way to the full on gore fest known as 'The New York Ripper'; if you want gore (and let's face it, who doesn't), Fulci is your man. However, all this catering for gorehounds like you and I has taken its toll on Fulci's mental state, and he's quickly delving into madness, brought about by what he films. Fulci's problems don't end at his mental state either, as his psychiatrist that he has gone to see about his problem has took it upon himself to take up murder as a hobby, using Fulci's films as blueprints for the murders!<br /><br />I've got to say, the acting in this film is absolutely atrocious. There is one scene in particular that involves a hooker, and it's only fit to be laughed at, for both it's acting and it's stupidity. Fulci takes the lead role of the film (obviously). He's not an actor, and it shows, but his performance is actually the best in the film. It's even safe to say that one the whole, the acting is bad for an Italian horror film. Of course, nobody goes into an Italian horror expecting good acting, so it's somewhat forgivable, but I do think that Fulci could have hired some better ones. Bad dubbing doesn't exactly help either. However, something that does help is the fact that the terrible acting is counterbalanced by lots of gore, and it's extreme to say the least! People get their heads cut off, a woman is slain in the shower (and unlike Psycho, here we REALLY see it), people are hacked up, fed to pigs and there's lots and lots of cinema's finest melee weapon - the chainsaw on display, which delighted me no end. The amount of gore is massively over the top a lot of the time, which gives the film something of a 'spoof' feel, but Cat in the Brain is obviously a tongue in cheek film anyway.<br /><br />It would be hard to make a film about yourself and not come across as being a bit of a big head, and Fulci does indeed come across as a bit of a big head in this movie. His name is mentioned often, and he's on screen nearly all the time; it's not too much unlike 'New Nightmare' in the ego stakes, but it's obvious he had a good time making this, and I for one had fun watching it, so we can forgive him a little egotism. The film's ending lets it down - I saw it coming a mile off, but then didn't seriously think that the movie would take that route, but I was wrong; it did, unfortunately. The ending left me cold, and the film is a better watch if you turn it off just before the final two minutes. However, despite it's ending and terrible acting, Cat in the Brain is a lot of fun and will please Fulci enthusiasts no end, and it is therefore recommended.",positive,1
"This movie has the look and feel of having been put together in a matter of days-kind of like Plan 9 From Outer Space. In spite of this, it's still a classic-ranking among my favorite Creature Features. *****POSSIBLE SPOILERS AHEAD******* Count Dracula and Larry Talbot; aka Wolfman, arrive at the laboratory of Dr. Edelman seeking a cure for their nocturnal anti-social behavior, such as killing people. In the meantime, kindly Dr. Edelman discovers the body of the Frankenstein Monster. Becoming obsessed with bringing it back to life( a common character trait among scientists, mad or otherwise), he goes against his better judgement, resulting in monster mayhem and madness. One of the final Universal classics of it's time (Abbot and Costello Meet Frankenstein followed 3 years later), it rates a 10 with this reviewer. Onslow Steven steals the show as good doctor gone bad after being infected by the blood of Dracula and becoming a half- werewolf/vampire creature, coming to a tragic end. At 1 hour 7 min. it packs quite a punch. A worthy addition to my video collection.<br /><br />Rating: ***** out of *****",positive,1
All this talk about this being a bad movie is nonsense. As a matter of fact this is the best movie I've ever seen. It's an excellent story and the actors in the movie are some of the best. I would not give criticism to any of the actors. That movie is the best and it will always stay that way.,positive,1
"The best bit in the film was when Alan pulled down her knickers and ran the cut throat razor over her bum cheeks and around her bum hole. It was also brilliant to see Alan's bum going up and down like a fiddler's elbow later on in the film.<br /><br />Alan was tough as hell in it like when he got annoyed and pushed the four eyed wimp onto the sofa.<br /><br />I've been laughing for days about the cut throat razor bit. A brilliant idea by the script writers. Alan must be brought back into Eastenders so he can do the same to Peggy.<br /><br />Alan is back, and this time he's armed with a razor. Watch out if you're a girl and he finds you and pulls your knickers down.",positive,1
"This is a gently amusing coming-of-age comedy that comes from the later, more mature period of Neil Simon's writing. Although there are plenty of wisecracks to go around, this is not one of those Neil Simon pieces where every character spouts out one-liner jokes for 2 hours like they're guest stars on a Bob Hope special. There are also dramatic elements (some work, some are overkill) that lend some weight to the story.<br /><br />The performances are good across the board, especially Blythe Danner as the mother (although she and Judith Ivey were oddly WASP-ish choices to play Jewish women). I've never been a fan of Jonathan Silverman, but I will say that he hits the right notes as the obnoxious, gawky, and totally horned-up teen-age narrator/protagonist of the story.<br /><br />The movie is very similar in tone to Woody Allen's ""Radio Days,"" but the latter is far more imaginative and funny than this one.",positive,1
"""And All Through the House"" is a special crypt episode not only because it's from the first season, but this episode was the first one I saw! I remember as a young man being on vacation with my parents that summer in 1989 in our hotel room in South Carolina on HBO I saw this episode and I was buried to the Crypt right then and forever! I had always been a fan of horror-suspense series and liked monster movies, and with this series started by HBO I again had fearful pleasure. This episode being the first one I saw is memorable for me and one of my favorites, it's just so enjoyable with a nice twist. ""And All Through the House"" has a nice cozy setting on a snowy Christmas Eve, which is a perfect way to get you relaxed for holiday chopping! Well anyway you have Mary Ellen Trainor(who by the way plays in several warner brothers works, usually small parts) as a greedy philandering wife who takes care of her hubby while waiting on some money and a new romance. Only like most horror series things take a turn for the worst and bad people get what they deserve. The odds are greatly stacked when a maniac dressed as Santa escapes from a local nut house, making for a late holiday chopping on Christmas Eve! As from the old E.C. comic lessons, you learn bad people get what they axe for! Well this tale ends with a perfect holiday scream! Also this tale was in the 1972 movie and featured Joan Collins, this is without a doubt one of my favorites and probably one of the classic crypt episodes of all-time!",positive,1
